"batch","sequence","target_name","city","state","dance_form","website_url","contact_page_url","public_business_email","official_public_phone","phone_use_policy","preferred_contact_channel","outreach_priority","relevance","email_to_use","email_subject","email_body","whatsapp_phone_manual_only","whatsapp_message","send_email_separately","sent_status","sent_date","reply_status","follow_up_date","notes","source_url","compliance_notes"
"USA dance schools batch 1","1","Academy of Kuchipudi Dance Atlanta","Suwanee","GA","Kuchipudi","https://www.kuchipudi.us/","https://www.kuchipudi.us/contactus.html","akdatlanta@gmail.com","(404) 277-9087","manual-use only; do not use for SMS/cold-call automation","public business email or contact form","High","Official Kuchipudi academy page includes Rangapraveshams section and contact form; strong rangapravesam fit.","akdatlanta@gmail.com","Teacher-first rangapravesam jewellery checklist","Namaste Academy of Kuchipudi Dance Atlanta team,

I am Anil from Golden Collections. We recently prepared a teacher-first jewellery checklist for Kuchipudi rangapravesam families.

The guide starts with the guru's required list, separates commonly required pieces from school-specific items, and gives parents a practical planning timeline including delivery buffer and teacher approval steps.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

I am sharing it as a resource for teachers and parents, not as a replacement for the guru's guidance. If you feel it is useful, please feel free to share it with families preparing for Kuchipudi rangapravesam.

If any wording should be corrected for your school's practice, I would genuinely appreciate your guidance.

Regards,
Anil Tunk
Golden Collections
support@goldencollections.com
WhatsApp: +91 73372 94499
Address: Plot no: 9, Krishnapuri Colony, Lakshmi Nagar, West Marredpally, Secunderabad, Telangana 500026, India","(404) 277-9087","Namaste Academy of Kuchipudi Dance Atlanta team, this is Anil from Golden Collections.

We made a teacher-first jewellery checklist for Kuchipudi rangapravesam families. It starts with the guru's list and helps parents understand required vs school-specific pieces, regular dance sets vs real/black kemp, and ordering timelines.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

If useful, please feel free to share it with parents. And if any wording should be corrected for your school's practice, I would be grateful for your guidance.","yes - one individual email per school; do not place all 15 in To/Cc","sent","2026-05-24 20.24.22 +05:30","pending","","Sent from support@goldencollections.com via Titan SMTP by Codex. SMTP message ID: <b990d1f9-c439-40f8-66bf-5f9615ed5232@goldencollections.com>","https://www.kuchipudi.us/contactus.html","Official school/contact page only; no student/parent/private data collected."
"USA dance schools batch 1","2","Abhinaya Dance Company of San Jose","San Jose / Mountain View","CA","Bharatanatyam","https://abhinaya.org/","https://abhinaya.org/","abdanceco@gmail.com","408-871-5959","manual-use only; do not use for SMS/cold-call automation","public business email","High","Official site mentions new beginner through post-arangetram classes and Arangetrams 2026; strong arangetram relevance.","abdanceco@gmail.com","Teacher-first arangetram jewellery checklist","Namaste Abhinaya Dance Company of San Jose team,

I am Anil from Golden Collections. We recently prepared a teacher-first jewellery checklist for Bharatanatyam arangetram families.

The guide starts with the guru's required list, separates commonly required pieces from school-specific items, and gives parents a practical planning timeline including delivery buffer and teacher approval steps.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

I am sharing it as a resource for teachers and parents, not as a replacement for the guru's guidance. If you feel it is useful, please feel free to share it with families preparing for Bharatanatyam arangetram.

If any wording should be corrected for your school's practice, I would genuinely appreciate your guidance.

Regards,
Anil Tunk
Golden Collections
support@goldencollections.com
WhatsApp: +91 73372 94499
Address: Plot no: 9, Krishnapuri Colony, Lakshmi Nagar, West Marredpally, Secunderabad, Telangana 500026, India","408-871-5959","Namaste Abhinaya Dance Company of San Jose team, this is Anil from Golden Collections.

We made a teacher-first jewellery checklist for Bharatanatyam arangetram families. It starts with the guru's list and helps parents understand required vs school-specific pieces, regular dance sets vs real/black kemp, and ordering timelines.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

If useful, please feel free to share it with parents. And if any wording should be corrected for your school's practice, I would be grateful for your guidance.","yes - one individual email per school; do not place all 15 in To/Cc","sent","2026-05-25 12.48.03 +05:30","pending","","Sent from support@goldencollections.com via Titan SMTP by Codex. SMTP message ID: <ad8b9bc4-82ab-a25f-8fd7-748636d47435@goldencollections.com>","https://abhinaya.org/","Official school/company page only; no student/parent/private data collected."
"USA dance schools batch 1","3","Akruthi Performing Arts","San Jose / Fremont","CA","Bharatanatyam; Carnatic music","https://akruthi.org/","https://akruthi.org/","Akruthiperformingarts@gmail.com","","not collected","public business email","High","Official site offers Bharatanatyam and supports arangetram orchestras including vocals, mridangam, and nattuvangam; strong arangetram ecosystem fit.","Akruthiperformingarts@gmail.com","Teacher-first arangetram jewellery checklist","Namaste Akruthi Performing Arts team,

I am Anil from Golden Collections. We recently prepared a teacher-first jewellery checklist for Bharatanatyam arangetram families.

The guide starts with the guru's required list, separates commonly required pieces from school-specific items, and gives parents a practical planning timeline including delivery buffer and teacher approval steps.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

I am sharing it as a resource for teachers and parents, not as a replacement for the guru's guidance. If you feel it is useful, please feel free to share it with families preparing for Bharatanatyam arangetram.

If any wording should be corrected for your school's practice, I would genuinely appreciate your guidance.

Regards,
Anil Tunk
Golden Collections
support@goldencollections.com
WhatsApp: +91 73372 94499
Address: Plot no: 9, Krishnapuri Colony, Lakshmi Nagar, West Marredpally, Secunderabad, Telangana 500026, India","","Namaste Akruthi Performing Arts team, this is Anil from Golden Collections.

We made a teacher-first jewellery checklist for Bharatanatyam arangetram families. It starts with the guru's list and helps parents understand required vs school-specific pieces, regular dance sets vs real/black kemp, and ordering timelines.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

If useful, please feel free to share it with parents. And if any wording should be corrected for your school's practice, I would be grateful for your guidance.","yes - one individual email per school; do not place all 15 in To/Cc","sent","2026-05-25 12.48.03 +05:30","pending","","Sent from support@goldencollections.com via Titan SMTP by Codex. SMTP message ID: <870c80a9-5f95-be65-d88d-f38c27a690e8@goldencollections.com>","https://akruthi.org/","Official academy page only; no student/parent/private data collected."
"USA dance schools batch 1","4","Kuchipudi Kalakshetra","Frisco / Coppell / Little Elm","TX","Kuchipudi","https://www.kuchipudikalakshetra.com/contact","https://www.kuchipudikalakshetra.com/contact","dfw.kuchipudi@gmail.com","972.596.2555","manual-use only; do not use for SMS/cold-call automation","public business email","High","Official contact page for DFW Kuchipudi school with multiple locations; strong rangapravesam target.","dfw.kuchipudi@gmail.com","Teacher-first rangapravesam jewellery checklist","Namaste Kuchipudi Kalakshetra team,

I am Anil from Golden Collections. We recently prepared a teacher-first jewellery checklist for Kuchipudi rangapravesam families.

The guide starts with the guru's required list, separates commonly required pieces from school-specific items, and gives parents a practical planning timeline including delivery buffer and teacher approval steps.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

I am sharing it as a resource for teachers and parents, not as a replacement for the guru's guidance. If you feel it is useful, please feel free to share it with families preparing for Kuchipudi rangapravesam.

If any wording should be corrected for your school's practice, I would genuinely appreciate your guidance.

Regards,
Anil Tunk
Golden Collections
support@goldencollections.com
WhatsApp: +91 73372 94499
Address: Plot no: 9, Krishnapuri Colony, Lakshmi Nagar, West Marredpally, Secunderabad, Telangana 500026, India","972.596.2555","Namaste Kuchipudi Kalakshetra team, this is Anil from Golden Collections.

We made a teacher-first jewellery checklist for Kuchipudi rangapravesam families. It starts with the guru's list and helps parents understand required vs school-specific pieces, regular dance sets vs real/black kemp, and ordering timelines.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

If useful, please feel free to share it with parents. And if any wording should be corrected for your school's practice, I would be grateful for your guidance.","yes - one individual email per school; do not place all 15 in To/Cc","sent","2026-05-25 12.48.03 +05:30","pending","","Sent from support@goldencollections.com via Titan SMTP by Codex. SMTP message ID: <b1ec73df-9218-6060-5a0f-9f3b30bc64f0@goldencollections.com>","https://www.kuchipudikalakshetra.com/contact","Official school/contact page only; no student/parent/private data collected."
"USA dance schools batch 1","5","Sai Nritya Academy","Frisco / McKinney / Plano","TX","Kuchipudi","https://www.sainrityaacademy.com/","https://www.sainrityaacademy.com/contact","snadfw@gmail.com","(713) 679-4842","manual-use only; do not use for SMS/cold-call automation","public business email","High","Official Kuchipudi school in DFW area; strong rangapravesam outreach fit.","snadfw@gmail.com","Teacher-first rangapravesam jewellery checklist","Namaste Sai Nritya Academy team,

I am Anil from Golden Collections. We recently prepared a teacher-first jewellery checklist for Kuchipudi rangapravesam families.

The guide starts with the guru's required list, separates commonly required pieces from school-specific items, and gives parents a practical planning timeline including delivery buffer and teacher approval steps.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

I am sharing it as a resource for teachers and parents, not as a replacement for the guru's guidance. If you feel it is useful, please feel free to share it with families preparing for Kuchipudi rangapravesam.

If any wording should be corrected for your school's practice, I would genuinely appreciate your guidance.

Regards,
Anil Tunk
Golden Collections
support@goldencollections.com
WhatsApp: +91 73372 94499
Address: Plot no: 9, Krishnapuri Colony, Lakshmi Nagar, West Marredpally, Secunderabad, Telangana 500026, India","(713) 679-4842","Namaste Sai Nritya Academy team, this is Anil from Golden Collections.

We made a teacher-first jewellery checklist for Kuchipudi rangapravesam families. It starts with the guru's list and helps parents understand required vs school-specific pieces, regular dance sets vs real/black kemp, and ordering timelines.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

If useful, please feel free to share it with parents. And if any wording should be corrected for your school's practice, I would be grateful for your guidance.","yes - one individual email per school; do not place all 15 in To/Cc","sent","2026-05-25 12.48.03 +05:30","pending","","Sent from support@goldencollections.com via Titan SMTP by Codex. SMTP message ID: <916c8452-ade3-0993-b01a-c8cf8d767118@goldencollections.com>","https://www.sainrityaacademy.com/","Official school page only; no student/parent/private data collected."
"USA dance schools batch 1","6","Mythili Dance Academy","Frisco / Prosper","TX","Bharatanatyam","https://mythilidance.com/contact/","https://mythilidance.com/contact/","nritya1@hotmail.com","+1 (469) 910 2559","manual-use only; do not use for SMS/cold-call automation","public business email or contact form","High","Official contact page says premiere Bharatanatyam school with long training history; strong arangetram planning fit.","nritya1@hotmail.com","Teacher-first arangetram jewellery checklist","Namaste Mythili Dance Academy team,

I am Anil from Golden Collections. We recently prepared a teacher-first jewellery checklist for Bharatanatyam arangetram families.

The guide starts with the guru's required list, separates commonly required pieces from school-specific items, and gives parents a practical planning timeline including delivery buffer and teacher approval steps.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

I am sharing it as a resource for teachers and parents, not as a replacement for the guru's guidance. If you feel it is useful, please feel free to share it with families preparing for Bharatanatyam arangetram.

If any wording should be corrected for your school's practice, I would genuinely appreciate your guidance.

Regards,
Anil Tunk
Golden Collections
support@goldencollections.com
WhatsApp: +91 73372 94499
Address: Plot no: 9, Krishnapuri Colony, Lakshmi Nagar, West Marredpally, Secunderabad, Telangana 500026, India","+1 (469) 910 2559","Namaste Mythili Dance Academy team, this is Anil from Golden Collections.

We made a teacher-first jewellery checklist for Bharatanatyam arangetram families. It starts with the guru's list and helps parents understand required vs school-specific pieces, regular dance sets vs real/black kemp, and ordering timelines.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

If useful, please feel free to share it with parents. And if any wording should be corrected for your school's practice, I would be grateful for your guidance.","yes - one individual email per school; do not place all 15 in To/Cc","sent","2026-05-25 12.48.03 +05:30","pending","","Sent from support@goldencollections.com via Titan SMTP by Codex. SMTP message ID: <b154a5d6-2b6e-1628-c2d1-afbb77b6a9c3@goldencollections.com>","https://mythilidance.com/contact/","Official school/contact page only; no student/parent/private data collected."
"USA dance schools batch 1","7","Rati Dance Academy","Chantilly / Germantown","VA / MD","Kuchipudi","https://www.ratidanceacademy.com/contact","https://www.ratidanceacademy.com/contact","RatiDanceAcademy@gmail.com","(240) 354-6859","manual-use only; do not use for SMS/cold-call automation","public business email","High","Official contact page for Kuchipudi school with VA/MD locations; strong rangapravesam target.","RatiDanceAcademy@gmail.com","Teacher-first rangapravesam jewellery checklist","Namaste Rati Dance Academy team,

I am Anil from Golden Collections. We recently prepared a teacher-first jewellery checklist for Kuchipudi rangapravesam families.

The guide starts with the guru's required list, separates commonly required pieces from school-specific items, and gives parents a practical planning timeline including delivery buffer and teacher approval steps.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

I am sharing it as a resource for teachers and parents, not as a replacement for the guru's guidance. If you feel it is useful, please feel free to share it with families preparing for Kuchipudi rangapravesam.

If any wording should be corrected for your school's practice, I would genuinely appreciate your guidance.

Regards,
Anil Tunk
Golden Collections
support@goldencollections.com
WhatsApp: +91 73372 94499
Address: Plot no: 9, Krishnapuri Colony, Lakshmi Nagar, West Marredpally, Secunderabad, Telangana 500026, India","(240) 354-6859","Namaste Rati Dance Academy team, this is Anil from Golden Collections.

We made a teacher-first jewellery checklist for Kuchipudi rangapravesam families. It starts with the guru's list and helps parents understand required vs school-specific pieces, regular dance sets vs real/black kemp, and ordering timelines.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

If useful, please feel free to share it with parents. And if any wording should be corrected for your school's practice, I would be grateful for your guidance.","yes - one individual email per school; do not place all 15 in To/Cc","sent","2026-05-25 12.48.03 +05:30","pending","","Sent from support@goldencollections.com via Titan SMTP by Codex. SMTP message ID: <f97b3e44-90b2-e052-9665-bfa675787691@goldencollections.com>","https://www.ratidanceacademy.com/contact","Official school/contact page only; no student/parent/private data collected."
"USA dance schools batch 1","8","Sattvika Dance Academy","Denville / Paramus / Eastchester","NJ / NY","Bharatanatyam; Kuchipudi; Mohiniyattam; Kerala Natanam; Folk","https://www.sattvikadanceacademy.com/contact-us","https://www.sattvikadanceacademy.com/contact-us","sattvikaacademy@outlook.com","551-587-3481","manual-use only; do not use for SMS/cold-call automation","public business email or contact form","High","Official contact page lists Bharatanatyam and Kuchipudi at all locations; strong dual-form outreach fit.","sattvikaacademy@outlook.com","Teacher-first arangetram/rangapravesam jewellery checklist","Namaste Sattvika Dance Academy team,

I am Anil from Golden Collections. We recently prepared a teacher-first jewellery checklist for arangetram or rangapravesam families.

The guide starts with the guru's required list, separates commonly required pieces from school-specific items, and gives parents a practical planning timeline including delivery buffer and teacher approval steps.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

I am sharing it as a resource for teachers and parents, not as a replacement for the guru's guidance. If you feel it is useful, please feel free to share it with families preparing for Bharatanatyam arangetram or Kuchipudi rangapravesam.

If any wording should be corrected for your school's practice, I would genuinely appreciate your guidance.

Regards,
Anil Tunk
Golden Collections
support@goldencollections.com
WhatsApp: +91 73372 94499
Address: Plot no: 9, Krishnapuri Colony, Lakshmi Nagar, West Marredpally, Secunderabad, Telangana 500026, India","551-587-3481","Namaste Sattvika Dance Academy team, this is Anil from Golden Collections.

We made a teacher-first jewellery checklist for arangetram or rangapravesam families. It starts with the guru's list and helps parents understand required vs school-specific pieces, regular dance sets vs real/black kemp, and ordering timelines.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

If useful, please feel free to share it with parents. And if any wording should be corrected for your school's practice, I would be grateful for your guidance.","yes - one individual email per school; do not place all 15 in To/Cc","sent","2026-05-25 12.48.03 +05:30","pending","","Sent from support@goldencollections.com via Titan SMTP by Codex. SMTP message ID: <5ee883c0-83f5-71f4-5a68-e3bc9c546110@goldencollections.com>","https://www.sattvikadanceacademy.com/contact-us","Official school/contact page only; no student/parent/private data collected."
"USA dance schools batch 1","9","Sri Kuchipudi Natyalaya","New England / Foxboro area","MA","Kuchipudi","https://kuchipudiboston.com/","https://kuchipudiboston.com/","admin@kuchipudiboston.com","7814922146","manual-use only; do not use for SMS/cold-call automation","public business email","High","Official site identifies pioneering New England Kuchipudi institute; strong rangapravesam fit.","admin@kuchipudiboston.com","Teacher-first rangapravesam jewellery checklist","Namaste Sri Kuchipudi Natyalaya team,

I am Anil from Golden Collections. We recently prepared a teacher-first jewellery checklist for Kuchipudi rangapravesam families.

The guide starts with the guru's required list, separates commonly required pieces from school-specific items, and gives parents a practical planning timeline including delivery buffer and teacher approval steps.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

I am sharing it as a resource for teachers and parents, not as a replacement for the guru's guidance. If you feel it is useful, please feel free to share it with families preparing for Kuchipudi rangapravesam.

If any wording should be corrected for your school's practice, I would genuinely appreciate your guidance.

Regards,
Anil Tunk
Golden Collections
support@goldencollections.com
WhatsApp: +91 73372 94499
Address: Plot no: 9, Krishnapuri Colony, Lakshmi Nagar, West Marredpally, Secunderabad, Telangana 500026, India","7814922146","Namaste Sri Kuchipudi Natyalaya team, this is Anil from Golden Collections.

We made a teacher-first jewellery checklist for Kuchipudi rangapravesam families. It starts with the guru's list and helps parents understand required vs school-specific pieces, regular dance sets vs real/black kemp, and ordering timelines.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

If useful, please feel free to share it with parents. And if any wording should be corrected for your school's practice, I would be grateful for your guidance.","yes - one individual email per school; do not place all 15 in To/Cc","sent","2026-05-25 12.48.03 +05:30","pending","","Sent from support@goldencollections.com via Titan SMTP by Codex. SMTP message ID: <8e1e8b87-be67-75cb-95dd-3697820d4f4f@goldencollections.com>","https://kuchipudiboston.com/","Official school page only; no student/parent/private data collected."
"USA dance schools batch 1","10","Nrityalaya School of Dance","Seattle area","WA","Bharatanatyam","https://nrityalayadance.net/","https://nrityalayadance.net/","vidya@nrityalayadance.net","425-241-5425","manual-use only; do not use for SMS/cold-call automation","public business email","High","Official site lists graduate performances and arangetram years; strong arangetram relevance.","vidya@nrityalayadance.net","Teacher-first arangetram jewellery checklist","Namaste Nrityalaya School of Dance team,

I am Anil from Golden Collections. We recently prepared a teacher-first jewellery checklist for Bharatanatyam arangetram families.

The guide starts with the guru's required list, separates commonly required pieces from school-specific items, and gives parents a practical planning timeline including delivery buffer and teacher approval steps.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

I am sharing it as a resource for teachers and parents, not as a replacement for the guru's guidance. If you feel it is useful, please feel free to share it with families preparing for Bharatanatyam arangetram.

If any wording should be corrected for your school's practice, I would genuinely appreciate your guidance.

Regards,
Anil Tunk
Golden Collections
support@goldencollections.com
WhatsApp: +91 73372 94499
Address: Plot no: 9, Krishnapuri Colony, Lakshmi Nagar, West Marredpally, Secunderabad, Telangana 500026, India","425-241-5425","Namaste Nrityalaya School of Dance team, this is Anil from Golden Collections.

We made a teacher-first jewellery checklist for Bharatanatyam arangetram families. It starts with the guru's list and helps parents understand required vs school-specific pieces, regular dance sets vs real/black kemp, and ordering timelines.

Checklist:
https://www.goldencollections.com/pages/bharatanatyam-arangetram-kuchipudi-rangapravesam-jewellery-checklist

If useful, please feel free to share it with parents. And if any wording should be corrected for your school's practice, I would be grateful for your guidance.","yes - one individual email per school; do not place all 15 in To/Cc","sent","2026-05-25 12.48.03 +05:30","pending","","Sent from support@goldencollections.com via Titan SMTP by Codex. SMTP message ID: <b976e7a2-d830-d440-a5b0-709cf0f4ff95@goldencollections.com>","https://nrityalayadance.net/","Official school page only; no student/parent/private data collected."
