target_name,city,state,dance_form,website_url,contact_page_url,public_business_email,official_public_phone,phone_use_policy,preferred_contact_channel,source_url,outreach_priority,arangetram_rangapravesam_relevance,compliance_notes
"Academy of Kuchipudi Dance Atlanta","Suwanee","GA","Kuchipudi","https://www.kuchipudi.us/","https://www.kuchipudi.us/contactus.html","akdatlanta@gmail.com","(404) 277-9087","manual-use only; do not use for SMS/cold-call automation","public business email or contact form","https://www.kuchipudi.us/contactus.html","High","Official Kuchipudi academy page includes Rangapraveshams section and contact form; strong rangapravesam fit.","Official school/contact page only; no student/parent/private data collected."
"Naada Arts Academy","Atlanta / Alpharetta / Johns Creek area","GA","Bharatanatyam","https://www.naadance.com/home","https://www.naadance.com/home","naadaartsacademy@gmail.com","(404) 913-4175","manual-use only; do not use for SMS/cold-call automation","public business email","https://www.naadance.com/home","Medium","Bharatanatyam school serving Atlanta suburbs; useful USA diaspora teacher target.","Official school page only; no student/parent/private data collected."
"Abhinaya Dance Company of San Jose","San Jose / Mountain View","CA","Bharatanatyam","https://abhinaya.org/","https://abhinaya.org/","abdanceco@gmail.com","408-871-5959","manual-use only; do not use for SMS/cold-call automation","public business email","https://abhinaya.org/","High","Official site mentions new beginner through post-arangetram classes and Arangetrams 2026; strong arangetram relevance.","Official school/company page only; no student/parent/private data collected."
"Dikshaa Dance Academy","San Jose","CA","Bharatanatyam","https://dikshaadanceacademy.com/","https://dikshaadanceacademy.com/","","408-218-8754","manual-use only; do not use for SMS/cold-call automation","contact form or website email link","https://dikshaadanceacademy.com/","High","Official site has Arangetram section and Bharatanatyam classes; strong arangetram relevance.","Official school page only; no student/parent/private data collected."
"Sri Vidya Dance School","Cupertino","CA","Bharatanatyam","https://srividyadance.com/","https://srividyadance.com/","","","not collected","contact form","https://srividyadance.com/","Medium","Official site identifies Cupertino Bharatanatyam school; useful Bay Area diaspora target.","Official school page only; no student/parent/private data collected."
"Nritanjali Dance Academy","Fremont","CA","Bharatanatyam; Mohiniyattam","https://www.nritanjali.com/","https://www.nritanjali.com/","","","not collected","contact form","https://www.nritanjali.com/","Medium","Official site teaches Bharatanatyam and Mohiniyattam in Fremont; relevant dance-school target.","Official school page only; no student/parent/private data collected."
"Sri Thillai Natya Palli","San Jose","CA","Bharatanatyam","https://www.thillainatyapalli.com/","https://www.thillainatyapalli.com/","","","not collected","contact form","https://www.thillainatyapalli.com/","Medium","Official site identifies a classical Bharatanatyam dance school in San Jose.","Official school page only; no student/parent/private data collected."
"Akruthi Performing Arts","San Jose / Fremont","CA","Bharatanatyam; Carnatic music","https://akruthi.org/","https://akruthi.org/","Akruthiperformingarts@gmail.com","","not collected","public business email","https://akruthi.org/","High","Official site offers Bharatanatyam and supports arangetram orchestras including vocals, mridangam, and nattuvangam; strong arangetram ecosystem fit.","Official academy page only; no student/parent/private data collected."
"Vidya Dance Academy / Vidyalatha Jeerage","San Jose / Sunnyvale","CA","Bharatanatyam","https://www.vidyalatha.com/locations","https://www.vidyalatha.com/locations","vidyadanceacademy@gmail.com","408-507-0892","manual-use only; do not use for SMS/cold-call automation","public business email","https://www.vidyalatha.com/locations","Medium","Official locations page lists Bharatanatyam teaching locations in San Jose/Sunnyvale.","Official teacher/school page only; no student/parent/private data collected."
"Shivam School of Dance","San Jose","CA","Bharatanatyam","https://www.shivamdance.com/","https://www.shivamdance.com/","","","not collected","contact form or website inquiry","https://www.shivamdance.com/","Medium","Official site identifies San Jose Bharatanatyam school; relevant Bay Area target.","Official school page only; no student/parent/private data collected."
